key,gate,posterior_TV,audio_available
dev/0/0,0.42820650339126587,0.0736255426127735,True
dev/0/1,0.05936617776751518,0.012045080125965122,True
dev/2/0,0.9472686648368835,0.024785687118955648,True
dev/2/1,0.07892801612615585,0.0071290408952822985,True
dev/2/2,0.4574107825756073,0.05598415541241159,True
dev/2/3,0.044479742646217346,0.0046767053024960505,True
dev/2/4,0.5482698082923889,0.07329738601620313,True
dev/2/5,0.6058728694915771,0.04128854435459442,True
dev/4/0,0.22666655480861664,0.05043191658171454,True
dev/4/1,0.8897508382797241,0.11116914972467022,True
dev/4/2,0.25767990946769714,0.06552635746956109,True
dev/4/3,0.749585747718811,0.13122968630653023,True
dev/4/4,0.9166065454483032,0.05688699715551486,True
dev/4/5,0.6901280283927917,0.061201976851744194,True
dev/4/6,0.7425639629364014,0.08934264619954552,True
dev/4/7,0.7334816455841064,0.10865857138974208,True
dev/4/8,0.7926501631736755,0.0901052835453825,True
dev/4/9,0.2540663480758667,0.057965154744658534,True
dev/4/10,0.9327723979949951,0.038506975876409985,True
dev/4/11,0.0677838996052742,0.011247259662972187,True
dev/4/12,0.03670726716518402,0.0038280541803446602,True
dev/4/13,0.31978610157966614,0.07243284414455846,True
dev/4/14,0.09905434399843216,0.00904152024061081,True
dev/5/0,0.8570424318313599,0.14853668794216646,True
dev/5/1,0.19366854429244995,0.04789707194603555,True
dev/5/2,0.6036127805709839,0.12092871624010951,True
dev/5/3,0.6082747578620911,0.13332370037673857,True
dev/5/4,0.9526309370994568,0.07096173409273583,True
dev/5/5,0.9516000151634216,0.11934156233397869,True
dev/5/6,0.47004830837249756,0.1165880650662667,True
dev/5/7,0.6733869314193726,0.1495703012214283,True
dev/5/8,0.9092003703117371,0.08374888839590966,True
dev/5/9,0.8632501363754272,0.11057277787539008,True
dev/5/10,0.920599639415741,0.05367868701475298,True
dev/5/11,0.8376191854476929,0.051197720955062004,True
dev/5/12,0.6355296969413757,0.061125877271674046,True
dev/6/0,0.21546918153762817,0.007498668983684238,True
dev/6/1,0.7176774144172668,0.06689238553625727,True
dev/6/2,0.451205849647522,0.03091019525538121,True
dev/6/3,0.5059574246406555,0.019013504065174904,True
dev/6/4,0.031929049640893936,0.0041061155035935215,True
dev/6/5,0.45055848360061646,0.10017668773010757,True
dev/6/6,0.9383686780929565,0.03248663240054491,True
dev/6/7,0.9720620512962341,0.08019477630025917,True
dev/6/8,0.06519199907779694,0.006296734681349083,True
dev/6/9,0.2655566930770874,0.05894103377004106,True
dev/7/0,0.05041693150997162,0.01133964138781917,True
dev/7/1,0.14399155974388123,0.007199140872738659,True
dev/7/2,0.9307748079299927,0.03573772729352151,True
dev/7/3,0.7707890868186951,0.09252748222576364,True
dev/7/4,0.07215193659067154,0.018585167561186056,True
dev/7/5,0.07660352438688278,0.002889015351044961,True
dev/7/6,0.11754260957241058,0.02339674401499427,True
dev/7/7,0.8306899070739746,0.16084599777846154,True
dev/7/8,0.6310684084892273,0.09599272597564383,True
dev/7/9,0.24365448951721191,0.03391315129386186,True
dev/7/10,0.17076066136360168,0.0071501546356425,True
dev/9/0,0.8920986652374268,0.03530634423172508,True
dev/9/1,0.19277697801589966,0.027111644815667173,True
dev/9/2,0.39440494775772095,0.10731599467205533,True
dev/9/3,0.17009668052196503,0.02601125735667378,True
dev/9/4,0.24588823318481445,0.057715017485391665,True
dev/9/5,0.9601236581802368,0.05422567283767056,True
dev/9/6,0.586858868598938,0.1003923132814976,True
dev/9/7,0.7434292435646057,0.17255977700552194,True
dev/10/0,0.879013180732727,0.06826991466185577,True
dev/10/1,0.9072818160057068,0.10767580123606385,True
dev/10/2,0.14730064570903778,0.030460598007986107,True
dev/10/3,0.7577377557754517,0.08726362994021979,True
dev/10/4,0.7289853692054749,0.08721196557769151,True
dev/10/5,0.5587028861045837,0.03790072405134122,True
dev/10/6,0.16430510580539703,0.03910874203872566,True
dev/10/7,0.726604700088501,0.07870336037841179,True
